team,num_datapoints,auto_level_powercells,autoline_avg,auto_powercells_avg,avg_lower_powercells,avg_high_powercells,percent_higher_that_were_inner,shooting_positions,hang_rate,balanced_success_rate,parked_rate,avg_defense,avg_driving_skill,avg_num_fouls,problems,notes
16,3,"['low', 'high']",0.0,3.0,4.333333333333333,8.666666666666666,0.15384615384615385,"['driver station', 'nothing', 'other']",0.0,0.0,0.3333333333333333,2.0,1.3333333333333333,2.6666666666666665,"[""'none'"", ""'fell apart'"", ""'other'""]",['works great']
17,5,"['high', 'low']",0.6,3.0,6.8,12.4,0.3064516129032258,"['nothing', 'driver station', 'nearside trench']",0.0,0.0,0.6,3.0,3.6,2.0,"[""'none'"", ""'fell apart'"", ""'other'"", ""'lost capabilities'""]",['works great']
18,4,"['low', 'high']",0.25,3.25,7.75,11.75,0.2978723404255319,"['farside trench', 'other', 'nothing', 'nearside trench']",1.0,1.0,0.0,3.0,2.5,2.25,"[""'none'"", ""'other'"", ""'lost capabilities'"", ""'fell apart'""]",['works great']
19,5,['high'],0.4,3.0,6.8,10.0,0.28,"['autoline', 'farside trench']",1.0,0.0,0.0,3.6,1.8,1.4,"[""'none'"", ""'disabled'"", ""'fell apart'"", ""'lost capabilities'"", ""'other'""]",['works great']
20,5,"['low', 'high']",0.2,1.2,3.8,13.2,0.19696969696969696,"['autoline', 'other', 'driver station']",0.5,1.0,0.0,2.8,4.4,2.0,"[""'none'"", ""'fell apart'"", ""'lost capabilities'""]",['works great']
21,4,"['low', 'high']",0.5,4.5,4.5,7.25,0.1724137931034483,"['other', 'driver station', 'autoline']",0.6666666666666666,0.0,0.0,3.0,2.75,2.75,"[""'none'"", ""'lost capabilities'"", ""'disabled'"", ""'fell apart'"", ""'other'""]",['works great']
22,9,"['high', 'low']",0.4444444444444444,4.444444444444445,3.111111111111111,9.88888888888889,0.25842696629213485,"['farside trench', 'nothing', 'other', 'driver station', 'autoline']",0.875,0.7142857142857143,0.1111111111111111,2.3333333333333335,2.2222222222222223,2.111111111111111,"[""'none'"", ""'fell apart'"", ""'disabled'"", ""'other'"", ""'lost capabilities'""]",['works great']
23,5,"['high', 'low']",0.8,2.4,3.6,12.4,0.3225806451612903,"['driver station', 'autoline', 'other']",0.3333333333333333,1.0,0.2,3.8,2.6,2.2,"[""'none'"", ""'lost capabilities'"", ""'other'"", ""'fell apart'""]",['works great']
24,6,"['high', 'low']",0.16666666666666666,4.833333333333333,3.1666666666666665,10.0,0.23333333333333334,"['driver station', 'nearside trench', 'autoline']",1.0,0.2,0.16666666666666666,3.3333333333333335,2.8333333333333335,2.5,"[""'none'"", ""'other'"", ""'fell apart'"", ""'disabled'""]",['works great']
25,9,"['high', 'low']",0.3333333333333333,3.6666666666666665,4.444444444444445,10.88888888888889,0.24489795918367346,"['nearside trench', 'other', 'driver station', 'autoline', 'farside trench']",0.5,0.5,0.2222222222222222,2.6666666666666665,3.2222222222222223,1.8888888888888888,"[""'none'"", ""'lost capabilities'"", ""'disabled'"", ""'fell apart'"", ""'other'""]",['works great']
26,10,"['high', 'low']",0.4,4.9,5.4,9.8,0.17346938775510204,"['driver station', 'nothing', 'other', 'farside trench']",1.0,0.16666666666666666,0.4,2.4,3.4,1.5,"[""'none'"", ""'disabled'"", ""'lost capabilities'"", ""'fell apart'"", ""'other'""]",['works great']
27,7,"['low', 'high']",0.42857142857142855,3.857142857142857,4.571428571428571,7.714285714285714,0.2962962962962963,"['autoline', 'farside trench', 'other', 'nothing', 'driver station']",0.5,1.0,0.14285714285714285,2.2857142857142856,3.0,2.2857142857142856,"[""'none'"", ""'disabled'"", ""'fell apart'"", ""'other'""]",['works great']
28,3,"['low', 'high']",0.6666666666666666,4.333333333333333,4.333333333333333,6.0,0.6111111111111112,['nothing'],1.0,0.0,0.0,4.0,3.3333333333333335,2.0,"[""'none'"", ""'disabled'"", ""'lost capabilities'""]",['works great']
29,9,"['high', 'low']",0.4444444444444444,3.4444444444444446,4.777777777777778,9.777777777777779,0.2727272727272727,"['driver station', 'farside trench', 'nothing', 'other', 'autoline', 'nearside trench']",0.5,0.3333333333333333,0.1111111111111111,2.888888888888889,2.7777777777777777,2.111111111111111,"[""'none'"", ""'other'"", ""'fell apart'"", ""'lost capabilities'"", ""'disabled'""]",['works great']
30,9,"['high', 'low']",0.5555555555555556,3.5555555555555554,4.0,12.222222222222221,0.2,"['driver station', 'nothing', 'nearside trench', 'farside trench']",0.5,0.6666666666666666,0.0,3.2222222222222223,3.4444444444444446,2.3333333333333335,"[""'none'"", ""'fell apart'"", ""'disabled'"", ""'other'""]",['works great']
31,4,"['high', 'low']",0.0,3.25,2.5,9.25,0.24324324324324326,"['autoline', 'nothing', 'other']",0.75,0.6666666666666666,0.0,3.0,1.5,2.25,"[""'none'"", ""'fell apart'"", ""'disabled'""]",['works great']
32,5,"['low', 'high']",0.4,1.8,5.0,9.4,0.3617021276595745,"['driver station', 'nothing', 'other', 'autoline']",0.6666666666666666,1.0,0.2,3.0,2.8,2.2,"[""'none'"", ""'other'"", ""'lost capabilities'"", ""'disabled'""]",['works great']
33,9,"['high', 'low']",0.6666666666666666,3.5555555555555554,6.222222222222222,7.333333333333333,0.3939393939393939,"['other', 'nothing', 'driver station', 'nearside trench', 'autoline']",0.6666666666666666,0.5,0.1111111111111111,3.111111111111111,3.3333333333333335,2.0,"[""'none'"", ""'fell apart'"", ""'other'"", ""'lost capabilities'"", ""'disabled'""]",['works great']
34,4,"['high', 'low']",0.25,4.0,6.75,12.75,0.2549019607843137,"['farside trench', 'other', 'nearside trench', 'driver station']",0.5,0.5,0.0,2.25,3.75,2.5,"[""'none'"", ""'disabled'"", ""'other'"", ""'fell apart'""]",['works great']
35,11,"['high', 'low']",0.6363636363636364,3.272727272727273,5.2727272727272725,12.545454545454545,0.2246376811594203,"['nothing', 'nearside trench', 'other', 'driver station', 'farside trench', 'autoline']",0.6666666666666666,0.25,0.18181818181818182,2.272727272727273,4.0,1.7272727272727273,"[""'none'"", ""'fell apart'"", ""'other'"", ""'disabled'"", ""'lost capabilities'""]",['works great']
36,2,"['low', 'high']",0.0,4.0,5.0,9.5,0.0,"['driver station', 'farside trench']",0.5,0.0,0.0,4.0,4.0,2.5,"[""'none'"", ""'lost capabilities'"", ""'disabled'""]",['works great']
37,3,"['high', 'low']",0.6666666666666666,2.6666666666666665,3.0,9.666666666666666,0.2413793103448276,"['nothing', 'nearside trench']",1.0,0.5,0.0,1.6666666666666667,3.3333333333333335,2.0,"[""'none'"", ""'disabled'"", ""'other'""]",['works great']
39,10,"['low', 'high']",0.5,4.5,5.4,9.9,0.23232323232323232,"['other', 'nearside trench', 'autoline', 'nothing', 'farside trench']",0.7142857142857143,0.0,0.0,3.1,4.1,2.2,"[""'none'"", ""'lost capabilities'"", ""'fell apart'"", ""'disabled'"", ""'other'""]",['works great']
40,8,"['low', 'high']",0.375,4.5,4.75,9.75,0.19230769230769232,"['nothing', 'farside trench', 'other', 'nearside trench']",0.2,0.0,0.25,3.25,3.0,1.75,"[""'none'"", ""'disabled'"", ""'fell apart'"", ""'lost capabilities'"", ""'other'""]",['works great']
